,board_XKZC3,board_ZNYDK,board_QMNEL,board_3CAB1,board_N8XVM,board_PWHKH,board_9APYS,board_A6DFX,board_30TZX,board_1YCBX,board_RFXC8,board_RMM0O,board_O5US0,board_7H2WS,board_D3LV3,board_AQNAB,board_VQIE8,board_IAYA2,board_ZRWPF,board_S3T0O,board_U7A6L,board_YO6BX,board_UINMM,board_B6EWK,board_2J3H4,board_YSRWQ,board_31PNS,board_2CXWD,board_1JSUK,board_ZA57K,board_8UO4A,board_6VRMO,board_EJJAS,board_0IU46,board_UH72S,board_I9FJE,board_03OAX,board_OCTY7,board_5A09V,board_YYJSC,board_97E59,board_L1712,board_8GKLR,board_UBZTQ,board_31N2E,board_O2QR7,board_DRQWY,board_CNJ0M,board_1OYSD,board_57VFN,board_ODV5S,board_TQK2D,board_5C6WO,board_BUKKI,board_KFW8Y,board_5DMX7,board_BAMG9,board_BW970,board_DHZ39,board_8CSFE,board_130BF,board_ITTNN,board_1VINL,board_XNIVM,board_L15BF,board_IVQ12,board_N2KU5,board_VWWFF,board_ZHJIL,board_FXX6K,board_0RI0D,board_5NKTD,board_KD4T3,board_QNE3I,board_ROFNB,board_JDLXU,board_KHP6Z,board_RU5UY,board_LBAXI,board_X4FYR,board_YT58O,board_3EANT,board_YYHJG,board_850EX,board_R48GT,board_68PH3,board_7X631,board_7037H,board_LOLOK,board_IP60C,board_T8TTR,board_KPJU4,board_NAYL4,board_PF952,board_6LNQZ,board_5JVRD,board_9CL6E,board_AHGSN,board_IPUV4,board_TINGB
Pass,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True
100.0,-49.2966386741138,-49.9011179392874,-50.544458238446914,-49.808251256069674,-48.22950738262228,-50.829595200491404,-49.27496694039334,-50.33613032186436,-50.64730117701011,-50.4898010363613,-48.85759983475215,-50.78914503085981,-50.299184113894576,-49.037679192937105,-50.953891709124285,-50.380102895137114,-49.57659124027609,-49.759390839613204,-50.898526524026884,-49.82700397080066,-48.750684458154325,-48.992369665837366,-51.32688841321291,-49.76218978453101,-50.84658309260926,-49.46787389047059,-50.840736995200594,-51.15558232322881,-50.326771930536815,-50.23261591067123,-48.80473251011116,-50.42375256230505,-49.65290520539018,-49.47237454336245,-49.09383999786082,-49.01229714392039,-48.492129431786665,-51.32938886193954,-50.42388262491547,-50.96653371683079,-50.201490061386465,-48.48939329620039,-48.04104038975482,-51.024017261193826,-50.27704107697304,-49.230743707303375,-49.100674376252634,-51.74925816104987,-50.03517339343653,-50.79737829450029,-48.69978357354203,-52.44943735323864,-49.471215334348585,-49.58943051954398,-49.53833761927217,-51.17201047305983,-48.676901351033955,-50.64884161410146,-50.722118143473665,-47.12562123607841,-50.475072267121014,-50.40367183852849,-50.97699534611174,-49.82539850676111,-51.015833079289905,-49.18244337825552,-51.24761718154903,-50.80553885414614,-49.96098300107617,-48.708662173252236,-49.95882192647304,-50.125134811862736,-49.02378795753845,-51.22092511153114,-49.91047880311173,-50.0686166885886,-49.56162475304291,-50.02283282750473,-50.088938295816725,-50.51898518669821,-50.35470714749946,-51.606234943473396,-49.6975282946095,-48.20201727438522,-49.584216889779796,-51.50990921525913,-49.90481457465048,-49.21394508932064,-50.02866919544056,-49.614933491089054,-49.632471092030585,-49.29002337286803,-50.022326260809926,-51.80270250630364,-50.854533337733194,-49.912439540180905,-50.3434392341896,-51.78659083959647,-48.743391134896754,-50.824509983513146
104.04040404040404,-51.16706959938945,-48.609529491296044,-49.25650130213914,-48.89491878074837,-49.54442797864518,-51.22519148299517,-48.01821726064165,-49.23243944123513,-50.114756138917514,-49.16232904381104,-50.75137440790381,-49.284730282037614,-50.19160000065495,-51.92870136411459,-50.63360996287834,-49.89821635663166,-49.00547577893386,-50.07863748014771,-49.75082178403996,-49.81212895882139,-50.59084345181644,-50.36579060081725,-50.29656486039094,-50.45378551387943,-50.61927448607165,-49.98558690742854,-50.13959116294601,-51.39002223566108,-49.895975113841885,-49.46224324619165,-48.82457322620856,-50.118114220058956,-50.8126085923643,-47.70036255353763,-52.81676504780644,-49.84600243484091,-52.23312881282761,-49.26956156636368,-50.48146066469023,-50.817858672619735,-48.8816514099405,-51.50107858513184,-51.22156468441466,-51.638251909081184,-50.61595105863815,-51.63814437782351,-50.47740072202413,-51.232465913475984,-49.41271856950637,-49.71153389596862,-49.89853199926869,-49.39448364020637,-49.83731220103494,-49.12274186419492,-49.81341076657767,-50.28233115893954,-50.065328057712144,-49.905201579530825,-49.09733421410586,-51.98024290381939,-48.989625074070446,-48.7805204324576,-50.03583640894692,-52.18352718845452,-50.3357609181614,-49.3617589285869,-49.83299355247525,-49.536897858420865,-49.671763473505735,-49.08360713813593,-50.15974621340468,-50.48747287183,-50.279824540511,-49.31148768152406,-49.15711380275912,-49.91007207650794,-50.423656926596166,-50.565596824024766,-50.04136784274282,-51.3276662572186,-49.30789869644109,-50.191588370496994,-51.71115909152301,-50.921714324116195,-48.50205266944999,-49.1496866966386,-49.15885246797187,-49.263602022164314,-50.17639609830357,-50.00446691700019,-49.2181257039346,-49.351419008459686,-50.21821089938398,-49.48691774053343,-50.47184171769023,-49.12190872475792,-49.774483282912094,-50.10859543184872,-49.717932654352126,-49.007055480059186
108.08080808080808,-51.10413175605698,-49.10080603268892,-51.928574575023774,-50.42030947887646,-51.39223285133847,-51.58823195415152,-51.837636927046745,-49.14816404004993,-48.89766642511409,-51.19106110911958,-50.83663949845637,-50.43375330324792,-49.932219435640654,-49.46162870822988,-50.28578228878624,-48.91127803629534,-51.87040510463968,-50.65147040363037,-49.78009418075443,-50.40382691064486,-50.96084909526328,-48.80776384878409,-51.18759334929092,-49.50116732527789,-48.544036415599955,-50.10081264796049,-49.75736003335335,-50.63030680108305,-52.022896220726096,-48.80449891892424,-52.37354305135301,-49.83100567429444,-51.124358391695296,-50.44484427111375,-50.444873092630885,-49.59958687940226,-50.07913054944431,-49.29505759161588,-48.60995854296787,-49.0254159058499,-52.9852113831555,-47.22418750377196,-50.37085011111786,-49.23753080331141,-50.84144336169452,-50.25716330618394,-51.30203040928248,-51.27576943510384,-49.95514515256235,-49.77492765112693,-48.96720640209968,-50.10285823770729,-49.252003600177346,-49.709332374535535,-49.185459366106535,-49.43251197308044,-50.34836295139307,-48.843389433920706,-50.04563854210145,-51.40989515584706,-51.142242390728605,-49.54525992584214,-48.82480260724206,-51.451240703786404,-50.816013067780936,-49.19979661581719,-49.39230247617927,-49.123439237393626,-50.68973571067141,-49.52340842184067,-50.067112118355766,-49.843387019674516,-50.98848428829311,-50.26189580986571,-48.76253396320741,-49.78770031984146,-49.40911187245386,-50.163949572262204,-50.61598203496864,-51.508750960772886,-49.74037991702901,-50.02320848174744,-51.009278890510245,-51.60145960936747,-48.65605653230328,-46.90080952862316,-49.309420822325556,-48.10862688451949,-51.51305586614902,-50.138758719487775,-48.33563197833719,-49.597808033078934,-50.14245756565048,-48.963946727992116,-50.136295362786186,-50.70927648379117,-49.964037212408876,-49.48100717942176,-50.541381260116324,-50.39826505185459
112.12121212121212,-50.66257219962202,-48.98641878558126,-49.86173793056726,-49.65583990407747,-50.34819551996347,-51.13567427703539,-50.01118373881409,-50.4914222475393,-51.217085525502675,-49.81532490043168,-50.15058537574503,-50.169297176157926,-49.90713368070519,-50.102123115545766,-50.04427018573027,-51.271227239050475,-51.42144107157205,-50.01341261436922,-50.647137579152016,-52.720362459514696,-49.33161745284118,-48.70931163111218,-49.601488474486615,-49.88382766422092,-49.53929044696174,-49.74238258144612,-49.95451429720013,-50.552389832436525,-49.128878463671334,-50.06050011017342,-50.199702673415395,-50.08805299382222,-50.868784244600306,-49.25814083977484,-48.607245682267255,-50.32473582486133,-50.21531846321833,-52.56514509948465,-49.45031387386619,-51.369054293225794,-50.90660631347214,-50.3994798991866,-49.61010649625633,-50.090718001300054,-50.43727868214234,-50.585635564618144,-48.10288317425439,-49.78461811759409,-49.67287704598739,-51.369073699319365,-50.79796940644543,-50.48565864386351,-51.514581340786904,-48.66940726722412,-50.14584414295337,-51.40008407293537,-50.08902336009675,-51.15564287172316,-51.4118465876561,-48.03317022820579,-51.0127789866956,-50.62810090599956,-49.58726153399159,-48.20570795664844,-50.28145424459989,-49.076243451014534,-50.507897493262405,-50.44500122422741,-48.96351810901885,-51.743187813527435,-51.18717198700164,-49.761739755407085,-49.86763163486227,-48.931550413979075,-50.05070651586516,-48.96523164333275,-48.30575757235793,-50.50922584219057,-50.88620062702552,-50.74982960801296,-50.86177716331681,-48.948039745700534,-49.545543951064104,-49.21621970084563,-49.05632898901231,-51.23081741470781,-49.351095436591805,-50.57439240564443,-50.37059845252046,-49.467026217852286,-51.00468329249194,-49.79176812802566,-51.39268914466547,-49.31099521334923,-49.843367372350095,-48.69810889159465,-50.811337496424485,-48.676218943517675,-50.45567093030661,-50.699623148750476
116.16161616161617,-49.41852125668616,-48.77326825994148,-50.36679406789227,-50.64404119088227,-49.66437234084075,-48.03538458353205,-49.523695191121085,-49.69288846915182,-49.579419183154954,-50.25813202650685,-50.975510471301405,-49.43861943634765,-49.95370528074292,-49.03811420196511,-48.333855319846386,-48.12943042536599,-51.009286682678216,-50.74779187468191,-49.20664863434963,-50.85534923684204,-49.746871384793124,-50.805903921275096,-50.155366712478525,-49.11626989169053,-48.59980381217044,-48.894082996648905,-49.689321402993116,-53.28812907879762,-50.20100633081783,-50.49723047391328,-51.34559337021469,-50.1959384916586,-51.12090034047103,-49.08968323684105,-48.44698321165435,-49.23657460797044,-50.48915646683532,-50.11417185140633,-48.44339130014372,-50.86967595552061,-50.069641549489525,-50.06229942440971,-49.97526941160598,-51.091677660151426,-50.21778586963709,-50.512742543024096,-50.736498265754776,-50.39525118746551,-50.932869264198736,-51.202580717184894,-49.729802802811776,-50.380171623049776,-49.74503005880288,-49.17578281943257,-51.60425875050747,-49.12856745353935,-47.704155538117774,-52.393136827329705,-48.63338871110598,-48.67607321566105,-49.45104287331711,-50.7593469249511,-49.92619021590331,-51.07534508342865,-50.0954860920885,-50.88594100170359,-50.94719159410919,-50.25234310236233,-48.0478772214747,-49.37981271075553,-50.93504570879731,-50.98622215314322,-49.13002014158767,-51.00085986097253,-48.60057033731941,-50.60875690015687,-49.70629063744747,-50.222594767987864,-49.59229546652183,-50.90390564634974,-51.922706478410724,-49.96951065860115,-49.91642836099347,-50.523815622373114,-49.45351635928047,-49.489654390710285,-47.92313261907271,-49.02830350063814,-48.873195677859414,-50.17100975089512,-51.637410123586044,-48.25655307885873,-48.004655175501966,-51.55013220867788,-50.67749181471698,-49.39154660773123,-49.675422281042835,-47.49597413535839,-50.987881741692405,-50.18827124414022
120.20202020202021,-48.82690015370921,-48.936911272422925,-51.05492929988558,-49.652772285861644,-47.939033009953675,-51.95517825394474,-49.69493005076098,-50.12253891263617,-50.98213527681819,-48.70906277579921,-49.08045285116436,-49.70947369959629,-49.40061762227464,-50.756711087375685,-49.43434904845558,-50.50818921026549,-48.63369209441875,-49.56284907878178,-51.07632637619379,-49.52579254205249,-49.65465463421003,-50.83707920528722,-50.11271481472499,-49.469419300439014,-50.30753709870338,-51.37435354046843,-51.550543311526255,-49.989230689606934,-48.73085119041488,-50.41551275229405,-49.90942708548691,-49.95048201117197,-50.653212250481275,-48.83729373103093,-51.257265752176636,-49.39865329454819,-48.66887210801062,-49.799987893161415,-49.84389814916349,-50.92806047863818,-50.47620289702773,-51.572818711194564,-49.102851097809115,-50.52617714326405,-50.57206818014238,-49.570379577653675,-49.44530406568577,-50.78909783182543,-50.39907000567254,-47.81366623194612,-48.67855925585223,-50.69457069107833,-47.982262806532056,-51.013944417618085,-51.081937579980014,-50.99564742664792,-49.047800436238646,-50.26415449021456,-50.92646202260731,-51.36775155693697,-51.36244912251356,-50.14284261380677,-49.06158441780313,-50.12313227294407,-50.60785159990574,-50.34918242919432,-51.79625147877544,-49.41604132830748,-49.82996772036427,-49.72041104438788,-50.66190096104447,-50.338193587581934,-49.956754707514726,-48.859721260638416,-51.28569715242624,-49.39546625479287,-49.933470574033386,-49.05626934754028,-51.103902295292926,-50.10409312917563,-50.020061318631704,-50.661523222268826,-52.70447590014775,-49.938514706255354,-49.84468269746557,-49.67500222501827,-51.50628320634746,-49.98949438885275,-50.045958879245184,-49.83110975413424,-49.915085002066725,-49.65414530936814,-52.28843141425646,-48.42928346875439,-51.32006587969694,-50.35186143952012,-48.82096133285852,-49.87562562612274,-50.34682931476102,-50.17256501429636
124.24242424242425,-48.65624796413295,-49.6192393960053,-51.55315205927806,-53.141241941609124,-46.95030249554285,-51.230712861655945,-48.72607415343226,-49.70034127155408,-49.36263115074226,-48.80453750930906,-49.29492027969581,-49.67299431047239,-49.206851378066496,-50.88593693845741,-48.81351746884528,-50.68919524594881,-48.59485718865069,-50.816499122542055,-49.18149049714001,-50.01640360789275,-50.89938122717202,-49.8175413598507,-49.59978265316082,-49.80451219236079,-50.30187838480329,-49.4596030813439,-50.0592357776503,-50.254369697251015,-50.78310339731968,-51.49729847808933,-49.08868074694026,-48.914713134160074,-51.364456544041055,-49.81256112558211,-51.32081340951485,-48.424292352517256,-50.626343011525435,-51.871961587699786,-49.753319500937934,-51.21502466940848,-49.988660909023935,-50.25427306850103,-50.49327711197038,-51.89476940798882,-48.00962056644582,-49.162836647693986,-50.402280960271675,-49.66090246030182,-51.253784014596334,-50.82292075068568,-49.17665459681301,-49.98129584357754,-52.740182524855626,-49.443006208874024,-50.680071796189374,-48.23782090696318,-49.52292304194139,-50.18756607848488,-51.054071368881324,-48.70978217875487,-50.01371632531005,-50.49902500297271,-51.74862625092263,-49.3792061490082,-49.37171133271303,-52.58843323846021,-48.54843491246096,-53.2980517752451,-50.46641267910233,-50.18851045405132,-48.525702325321625,-49.07319101473415,-50.073539309410585,-48.50630424369989,-51.47730821772177,-48.61329099919097,-50.545526862826655,-49.84084814956962,-50.26956731466204,-48.38265825658041,-50.364453871014476,-50.11853909127516,-50.73153991968736,-49.06826336133845,-50.03520784959372,-48.38688927821461,-49.51952593437799,-49.7650283882816,-50.74088014279249,-50.18149572153283,-51.110256586954996,-50.76002701779414,-49.972584575797306,-50.4784870192362,-47.63531543957116,-52.96237519695582,-48.11673734223959,-49.701735687253674,-49.61225559326753,-50.827320643565265
128.2828282828283,-50.06633778861477,-49.06952734516651,-53.11028240376202,-48.88132987692482,-50.78980665501478,-50.251932534244766,-49.7424744411312,-48.24155056811075,-50.25373143107906,-52.65956045253125,-51.017110319894485,-48.839242209579815,-51.29310323366209,-50.520825078304966,-51.452956121245876,-48.6469377561247,-47.75010723628565,-50.237714419383316,-49.405956440394164,-50.60119083114581,-50.87034615837645,-49.70512152674699,-50.07890115245416,-48.92691175396273,-51.38094291326847,-50.37119590938962,-51.780703501375264,-52.18815929264367,-51.09508827577026,-50.0615939274661,-51.024784881711554,-50.18327858645593,-49.2215597594766,-49.07924703810134,-50.323344414242285,-48.60375747537435,-50.10905751471103,-50.50723045768522,-49.70274807521705,-49.54631160027873,-49.43650841150528,-50.7910047431872,-51.323304670436265,-48.81517921748372,-50.478021325950365,-48.4163555932381,-47.78070954467572,-49.510629779091595,-49.25198521064474,-50.25020494786867,-50.30888387512174,-47.443515002914936,-49.439856518315324,-49.17507994592251,-50.323599834620985,-48.62984232060954,-48.81809820471983,-49.36143448810715,-48.267204965717546,-51.168544339562004,-49.4307265311912,-51.97513445252631,-49.79410570364949,-49.18403091288752,-53.08860899977627,-48.95286517296167,-50.85768079601842,-48.77237353549337,-50.94326482493113,-49.14608057700747,-50.35152233381861,-51.324307695156264,-49.15919133326793,-52.03371368183605,-48.82566572064589,-51.38903085403893,-50.50193937588377,-49.3229762936705,-50.77294729188303,-49.72924708400268,-48.40723923783396,-49.99206158550112,-51.115111762487345,-50.283677662713224,-49.19396993582098,-51.04085079820005,-51.42615838953253,-48.57715945090822,-51.0183293587136,-50.77273016874378,-49.54694770492791,-51.06471475213037,-50.88160445723747,-51.19959975014936,-49.585843028161136,-50.66209374045101,-49.48741919640797,-49.62067618167971,-49.366148309720344,-49.08020700689365
132.32323232323233,-50.74894310586842,-51.58321776734939,-49.70843459524986,-50.78745053854791,-50.801172416727574,-51.423340108452784,-50.25776360996547,-48.349660706878915,-51.17681652701561,-49.949902990647,-48.0784844380442,-48.94603243319676,-50.32404230821617,-51.64525860915993,-50.26066667852493,-49.94967067772047,-49.9533458264195,-49.693424894573795,-47.88046106678911,-49.30641866143616,-51.740761341067405,-49.65375950014139,-51.592436872366456,-49.52043980535338,-50.57276341540869,-50.65796007651024,-51.85728619306671,-49.40738520545869,-50.861595300835056,-48.50121120760295,-48.632283592696716,-49.83183015667737,-49.767788491655,-48.3501408760834,-52.02371588830139,-50.20424991474226,-49.28600900903162,-50.71861200687529,-50.04239412084353,-49.2315497449633,-49.88077414299543,-49.84557027529512,-50.39137822875982,-48.764180203828474,-49.69795155152744,-50.12060264817441,-50.170466901475834,-50.591556427730694,-50.881442522269275,-49.36623399877997,-51.2276692792822,-48.507172365612846,-51.38220646795692,-48.46350118320407,-52.55661866040758,-49.8488439032707,-49.566307620253575,-49.16110961329649,-52.44398137976356,-50.82727678850845,-49.67104550566873,-49.98787831493473,-51.79697295012258,-50.19324032647714,-47.95217200965665,-48.33000701831615,-49.083914370372995,-50.91382454876379,-48.22904951352761,-50.904302133918144,-50.097291500572496,-50.438578158442674,-49.62402695349307,-49.29626112633555,-51.29001086644988,-48.56562447562175,-50.23131918746512,-51.183655774093154,-51.03495135242323,-49.48651273862973,-50.90980195005422,-50.8070735847168,-50.088679350712724,-49.52039986009591,-48.69846141966455,-50.52166115173243,-51.0506873825334,-50.272589819325425,-50.38861832080018,-50.96938877649233,-51.03216907032211,-50.52541612345623,-48.799392879786026,-50.78640196039497,-48.304827077341564,-51.209530805545995,-49.09021120633416,-50.074219758250045,-49.782147903867134,-50.60083245636721
